filename,class_id,class_name,confidence,x_min_pixel,y_min_pixel,x_max_pixel,y_max_pixel
ALF032741.jpg,0,leaf,0.9234,376,5402,748,5801
ALF032741.jpg,0,leaf,0.9315,640,4173,1151,4444
ALF032741.jpg,0,leaf,0.9415,1683,231,2563,779
ALF032741.jpg,0,leaf,0.9613,2539,1274,3130,1713
ALF032746.jpg,2,stem,0.2558,2914,928,3398,3823
ALF032746.jpg,0,leaf,0.2664,2293,704,2492,800
ALF032746.jpg,0,leaf,0.292,1051,1243,1148,1436
ALF032746.jpg,0,leaf,0.2998,408,2016,605,2106
ALF032746.jpg,0,leaf,0.3582,1676,2009,1825,2212
ALF032746.jpg,2,stem,0.362,912,1639,1092,1881
ALF032746.jpg,0,leaf,0.362,673,2269,786,2379
ALF032746.jpg,0,leaf,0.3633,1138,1206,1237,1316
ALF032746.jpg,0,leaf,0.4163,2485,677,2627,747
ALF032746.jpg,3,flower,0.4298,1214,1361,1379,1554
ALF032746.jpg,2,stem,0.4485,772,1632,1069,2305
ALF032746.jpg,0,leaf,0.4535,1891,2498,2436,2919
ALF032746.jpg,2,stem,0.4647,1426,410,1518,528
ALF032746.jpg,3,flower,0.4885,1315,534,1691,946
ALF032746.jpg,0,leaf,0.5278,1690,2238,2105,2478
ALF032746.jpg,0,leaf,0.5303,367,2096,601,2329
ALF032746.jpg,0,leaf,0.5453,1548,2455,2008,2730
ALF032746.jpg,2,stem,0.5645,2198,3241,2641,3578
ALF032746.jpg,0,leaf,0.5666,998,1205,1280,1617
ALF032746.jpg,0,leaf,0.5685,2343,3123,2661,3230
ALF032746.jpg,0,leaf,0.572,1434,2534,1538,2773
ALF032746.jpg,3,flower,0.5741,1384,278,1501,404
ALF032746.jpg,0,leaf,0.5965,2780,1165,3120,1327
ALF032746.jpg,0,leaf,0.6122,332,2889,520,3082
ALF032746.jpg,0,leaf,0.614,1535,2779,1657,2961
ALF032746.jpg,2,stem,0.6158,1383,2433,1530,2517
ALF032746.jpg,0,leaf,0.6181,1398,2745,1481,3063
ALF032746.jpg,0,leaf,0.636,1619,2680,2115,3316
ALF032746.jpg,0,leaf,0.636,870,1439,1123,1542
ALF032746.jpg,0,leaf,0.6566,139,1884,278,2062
ALF032746.jpg,0,leaf,0.6608,568,2809,759,2958
ALF032746.jpg,2,stem,0.6621,2206,3576,2789,4017
ALF032746.jpg,0,leaf,0.6709,2088,2911,2356,3190
ALF032746.jpg,2,stem,0.683,1155,2180,1386,2389
ALF032746.jpg,0,leaf,0.6872,1315,524,1679,957
ALF032746.jpg,0,leaf,0.6891,317,2753,568,3046
ALF032746.jpg,0,leaf,0.7084,1133,2354,1361,2615
ALF032746.jpg,0,leaf,0.7122,2988,949,3301,1292
ALF032746.jpg,2,stem,0.7218,2326,1438,2469,2498
ALF032746.jpg,0,leaf,0.7249,1794,2136,2075,2270
ALF032746.jpg,0,leaf,0.7267,168,2093,456,2343
ALF032746.jpg,0,leaf,0.7705,2686,770,3010,955
ALF032746.jpg,0,leaf,0.7777,1157,2046,1399,2166
ALF032746.jpg,0,leaf,0.7835,288,1916,591,2092
ALF032746.jpg,0,leaf,0.793,1719,1779,1933,1997
ALF032746.jpg,0,leaf,0.8002,450,2687,590,2835
ALF032746.jpg,2,stem,0.8046,591,2373,673,2794
ALF032746.jpg,0,leaf,0.8139,2347,806,2469,1183
ALF032746.jpg,2,stem,0.8426,1337,1160,1683,1428
ALF032746.jpg,0,leaf,0.8539,2489,901,2931,1257
ALF032746.jpg,0,leaf,0.8548,2531,695,2890,841
ALF032746.jpg,0,leaf,0.8611,1410,2247,1664,2451
ALF032746.jpg,0,leaf,0.8637,1248,2695,1353,3067
ALF032746.jpg,0,leaf,0.864,2292,556,2504,752
ALF032746.jpg,0,leaf,0.8757,1509,1911,1675,2204
ALF032746.jpg,2,stem,0.9114,1558,3534,2197,4243
ALF032746.jpg,0,leaf,0.9115,2910,600,3277,896
ALF032746.jpg,2,stem,0.9255,515,3112,1115,4438
NCY014503.jpg,3,flower,0.3343,2810,741,2985,918
NCY014503.jpg,3,flower,0.4494,4515,5146,4729,5355
NCY014503.jpg,3,flower,0.456,2830,1190,2995,1371
NCY014503.jpg,3,flower,0.4579,3100,1090,3258,1257
NCY014503.jpg,2,stem,0.4929,2272,1895,2564,2492
NCY014503.jpg,3,flower,0.584,2910,873,3122,1119
NCY014503.jpg,3,flower,0.7262,2606,764,2817,937
NCY014503.jpg,3,flower,0.7471,2989,1331,3170,1574
NCY014503.jpg,2,stem,0.7711,4446,5283,4817,5817
NCY014503.jpg,0,leaf,0.8071,2528,1154,2959,1735
NCY014503.jpg,3,flower,0.8095,2966,562,3233,849
NCY014503.jpg,3,flower,0.8112,2553,2308,2867,2606
NCY014503.jpg,3,flower,0.8149,3214,837,3421,1097
NCY014503.jpg,3,flower,0.8151,2383,810,2621,1069
NCY014503.jpg,2,stem,0.8176,4970,2990,5144,3439
NCY014503.jpg,3,flower,0.8214,2669,500,2938,822
NCY014503.jpg,2,stem,0.8345,1531,2493,2042,5430
NCY014503.jpg,3,flower,0.8355,1781,2321,2033,2525
NCY014503.jpg,3,flower,0.8497,3168,1203,3397,1542
NCY014503.jpg,3,flower,0.8807,2808,1924,3087,2212
NCY014503.jpg,3,flower,0.8932,2154,1212,2450,1477
NCY014503.jpg,1,root,0.8954,3082,9360,5088,9954
NCY014503.jpg,2,stem,0.91,4203,8433,4556,9385
NCY014503.jpg,2,stem,0.9245,1287,4629,2756,5432
NCY014503.jpg,2,stem,0.9325,4444,3834,4964,5020
NCY014503.jpg,0,leaf,0.9363,4522,7964,5339,8683
NCY014503.jpg,0,leaf,0.9494,4656,7216,6195,8105
NCY014503.jpg,0,leaf,0.9583,3600,7910,4524,8539
NCY014503.jpg,0,leaf,0.9607,4433,5885,5713,7648
NCY014503.jpg,0,leaf,0.9619,2459,2352,3561,3526
NCY014503.jpg,0,leaf,0.9661,5132,2604,6771,3750
NCY014503.jpg,0,leaf,0.9664,15,1201,1128,2536
NCY014503.jpg,0,leaf,0.9671,228,2460,1331,3413
NCY014503.jpg,0,leaf,0.9672,3433,6720,4600,7945
NCY014503.jpg,0,leaf,0.9676,1123,1232,2041,2539
